HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
1,1441680.767,1478077.698,505875.519,0,61395.16,54419.75,49421.54,149790.85,57751.6,3425633.985,115814.91,256963.99,3798412.885
2,2206886.813,1273936.447,377944.5815,49145.11,72164.91,16382,149089.79,131144.35,11700.37,3858767.841,137692.02,291934.51,4288394.371
3,65566.2161,180024,109218.2,2771,32766.75,24450,5040,29473.5,13406.75,354808.4161,59987.75,47920.25,462716.4161
4,2031903.082,3463044.034,988074.4957,11454.24,51583.47,5647.75,102780.48,95154.54,38787.21,6483021.613,68685.46,236722.23,6788429.303
5,3803263.632,3319775.853,1060419.094,0,97576.15,21531.57,57896.61,85542.36,96290.81,8183458.579,119107.72,239729.78,8542296.079
6,6588953.693,8724689.723,3961934.565,196518.24,176823.61,173615.5,139750.27,462773.43,264964.26,19275577.98,546957.35,867487.96,20690023.29
7,657268.33,1146326.395,384266.6206,42340.13,244562.65,47945,156885.48,443808.7,127750.6,2187861.345,334847.78,728444.78,3251153.905
8,13880348.82,26323838.71,10930753.91,934660.41,1196144.3,823720.08,1515346.23,2442944.39,1203270.2,51134941.45,2954524.79,5161560.82,59251027.06
9,827960.505,1724531.777,736565.52,12064,85671,19555.2,34540,54796,51988.6,3289057.801,117290.2,141324.6,3547672.601
10,3526055.642,3008661.916,566439.2266,66444.51,137577.34,52382.45,28605.34,430708.93,323909.47,7101156.785,256404.3,783223.74,8140784.825
11,352339.445,791446.5332,130326.6009,60954.45,0,0,4509.25,0,0,1274112.579,60954.45,4509.25,1339576.279
12,1267071.047,4483622.675,1256494.803,36030,43901.53,5674.5,101516.3,226535.65,159414.445,7007188.526,85606.03,487466.395,7580260.951
13,2350751.32,2722032.308,547810.87,89856.97,48526.63,25342.98,91614.96,76559.75,84851.84,5620594.498,163726.58,253026.55,6037347.628
14,2381068.191,4850559.335,1521462.018,150616.66,508541.8,132312.08,338585.76,835388.07,169046.741,8753089.543,791470.54,1343020.571,10887580.65
15,1214172.931,1521832.468,419340.5685,198098.86,162478.29,16587.7,143766.45,112954.02,60575.96,3155345.966,377164.85,317296.43,3849807.246
16,2121091.678,5890821.819,1987211.685,254789.39,330848.85,158976.648,228103.41,385084.87,91083.85,9999125.182,744614.888,704272.13,11448012.2
17,824864.979,1346269.234,1142387.695,51952.12,167106.66,24890.86,153812.15,238297.62,80939.5,3313521.907,243949.64,473049.27,4030520.817
18,739852.7079,2019344.981,1341414.947,3930,104872.194,78732.63,98118.94,409918.86,316272.75,4100612.636,187534.824,824310.55,5112458.01
19,11007577.84,14555678.06,3223956.123,607090.31,1242689.2,91714.4,251074.35,593818.868,496087.85,28787212.02,1941493.91,1340981.068,32069687
20,520227.2467,1476987.195,518655.8748,15568.74,105905.72,50284.68,119013.32,140142.12,126280.14,2515870.317,171759.14,385435.58,3073065.037
21,684441.2128,916153.2113,298955.0304,58369.82,52922.35,18163.3,59573.63,53909.3,40432.66,1899549.454,129455.47,153915.59,2182920.514
22,907452.404,2155816.743,1081172.092,84619.7,152921.28,75578.19,161511.08,433380.06,260607.03,4144441.239,313119.17,855498.17,5313058.579
23,470807.0686,1118985.517,342793.8628,24110.62,36264.05,30998.75,9643.67,43942.65,22752.55,1932586.449,91373.42,76338.87,2100298.739
24,348261.2105,2413619.309,1138459.225,33485.65,67233,37837.22,42782.03,48788.88,118193.93,3900339.744,138555.87,209764.84,4248660.454
25,1605480.256,3723510.839,1421072.634,35140.5,254395.23,72563.136,90492.9,362139.33,223132.56,6750063.728,362098.866,675764.79,7787927.384
26,2710244.221,8704892.216,2656291.231,20543.8,153625.24,256535.9,135888.1,381135.61,444247.98,14071427.67,430704.94,961271.69,15463404.3
27,3801944.254,6240006.641,915237.4479,259643.28,744555.67,112194.03,253578.66,747381.9,237574.87,10957188.34,1116392.98,1238535.43,13312116.75
28,2371034.749,4698782.356,1535060.148,56296.43,486659.64,165502.13,354325.31,401051.78,628336.17,8604877.253,708458.2,1383713.26,10697048.71
29,1176605.682,2665021.281,800839.9507,65860.41,110422.75,46155.38,56236.05,204139.4,109950.37,4642466.913,222438.54,370325.82,5235231.273
30,1329950.531,1393516.44,569523.7612,53056.35,100122.54,61761.372,150262.85,260980.378,136275.336,3292990.732,214940.262,547518.564,4055449.558
31,1696225.955,2661294.064,930485.8773,126845.23,100484.74,53403.4,43014.06,154114.48,54402.32,5288005.896,280733.37,251530.86,5820270.126
32,1628300.406,2274261.626,683438.3495,219585.59,226448.446,72577.02,95052.48,98074.97,28210.18,4586000.381,518611.056,221337.63,5325949.067
33,6629039.598,8592030.853,1605444.202,0,625348.25,0,200688.57,599237.1,0,16826514.65,625348.25,799925.67,18251788.57
34,1228242.874,5603321.88,1495658.337,17657.75,191069,258035.85,252516.6,411763.3,96541.86,8327223.091,466762.6,760821.76,9554807.451
35,3123685.27,9727800.133,2528034.043,261673.94,200870.75,84479.35,279057.05,569541.33,612208.91,15379519.45,547024.04,1460807.29,17387350.78
36,1470414.272,3236598.514,673557.4734,150739.95,324013.89,58217.92,340173.44,378209.13,237650.35,5380570.26,532971.76,956032.92,6869574.94
37,811891.3384,2556615.739,1194333.45,12434.25,133310.7628,73893.75,49283.9,274970.67,138578.37,4562840.528,219638.7628,462832.94,5245312.23
38,640896.837,1132626.519,735074.354,0,74510.23,5699.95,14651.58531,68102.29,47072.2,2508597.71,80210.18,129826.0753,2718633.966
39,1619181.952,2794032.823,922465.849,290812.12,642050.49,121073.23,357672.466,607184.59,238730.74,5335680.623,1053935.84,1203587.796,7593204.259
40,838549.9734,3189672.785,1065824.058,88776.1,140225.8,148532.75,58719.07,327529.65,154098.535,5094046.815,377534.65,540347.255,6011928.72
